date_parsed,program_title,station,top3_nonconf_min,all_nonconf_min,news_pressure_uncorrected,news_pressure_corrected,conflict_any,conflict_total_min,n_stories
2005-03-18,CBS Evening News,CBS,7.333333333333334,28.0,7.333333333333334,7.8571428571428585,0.0,0.0,16.0
2005-03-19,ABC Evening News,ABC,11.333333333333332,28.666666666666664,11.333333333333332,11.86046511627907,0.0,0.0,13.0
2005-03-20,ABC Evening News,ABC,9.5,26.5,9.5,10.754716981132075,0.0,0.0,15.0
2005-03-21,ABC Evening News,ABC,12.0,28.333333333333336,12.0,12.705882352941176,0.0,0.0,17.0
2005-03-21,CBS Evening News,CBS,10.0,28.666666666666668,10.0,10.465116279069766,0.0,0.0,15.0
2005-03-22,ABC Evening News,ABC,9.166666666666666,28.5,9.166666666666666,9.649122807017545,0.0,0.0,18.0
2005-03-22,CBS Evening News,CBS,10.333333333333332,28.5,10.333333333333332,10.877192982456139,0.0,0.0,16.0
2005-03-23,ABC Evening News,ABC,10.333333333333332,28.333333333333332,10.333333333333332,10.941176470588234,0.0,0.0,17.0
2005-03-23,CBS Evening News,CBS,8.833333333333334,28.666666666666668,8.833333333333334,9.244186046511627,0.0,0.0,16.0
2005-03-24,ABC Evening News,ABC,10.0,28.666666666666668,10.0,10.465116279069766,0.0,0.0,20.0
2005-03-24,CBS Evening News,CBS,9.166666666666666,28.33333333333333,9.166666666666666,9.705882352941178,0.0,0.0,18.0
2005-03-25,ABC Evening News,ABC,8.0,27.833333333333336,8.0,8.622754491017963,1.0,0.5,17.0
2005-03-25,CBS Evening News,CBS,8.833333333333332,25.333333333333336,8.833333333333332,10.46052631578947,1.0,2.5,15.0
2005-03-26,ABC Evening News,ABC,6.833333333333333,28.333333333333336,6.833333333333333,7.235294117647058,0.0,0.0,18.0
2005-03-27,ABC Evening News,ABC,8.166666666666666,25.833333333333332,8.166666666666666,9.483870967741934,1.0,2.5,18.0
2005-03-28,ABC Evening News,ABC,8.0,28.666666666666664,8.0,8.372093023255815,0.0,0.0,16.0
2005-03-28,CBS Evening News,CBS,7.999999999999999,28.333333333333336,7.999999999999999,8.470588235294116,0.0,0.0,16.0
2005-03-29,ABC Evening News,ABC,5.333333333333334,28.666666666666664,5.333333333333334,5.58139534883721,0.0,0.0,17.0
2005-03-29,CBS Evening News,CBS,5.166666666666667,28.500000000000004,5.166666666666667,5.438596491228069,0.0,0.0,18.0
2005-03-30,ABC Evening News,ABC,5.833333333333334,28.16666666666667,5.833333333333334,6.21301775147929,0.0,0.0,19.0
2005-03-30,CBS Evening News,CBS,5.5,28.0,5.5,5.892857142857143,0.0,0.0,19.0
2005-03-31,ABC Evening News,ABC,10.166666666666668,28.166666666666664,10.166666666666668,10.828402366863909,0.0,0.0,17.0
2005-03-31,CBS Evening News,CBS,7.333333333333334,28.333333333333332,7.333333333333334,7.764705882352943,0.0,0.0,17.0
2005-04-01,ABC Evening News,ABC,12.000000000000002,28.666666666666668,12.000000000000002,12.558139534883722,0.0,0.0,15.0
2005-04-01,CBS Evening News,CBS,11.0,28.333333333333336,11.0,11.647058823529411,0.0,0.0,16.0
2005-04-02,ABC Evening News,ABC,10.5,28.333333333333336,10.5,11.117647058823529,0.0,0.0,11.0
2005-04-03,ABC Evening News,ABC,9.833333333333334,21.0,9.833333333333334,14.047619047619047,0.0,0.0,12.0
2005-04-03,CBS Evening News,CBS,12.166666666666668,28.16666666666667,12.166666666666668,12.958579881656805,0.0,0.0,15.0
2005-04-04,ABC Evening News,ABC,12.0,28.16666666666667,12.0,12.781065088757394,0.0,0.0,14.0
2005-04-04,CBS Evening News,CBS,11.833333333333332,28.333333333333336,11.833333333333332,12.529411764705879,0.0,0.0,15.0
2005-04-05,ABC Evening News,ABC,9.0,28.333333333333336,9.0,9.529411764705882,0.0,0.0,18.0
2005-04-05,CBS Evening News,CBS,10.166666666666666,28.333333333333336,10.166666666666666,10.76470588235294,0.0,0.0,16.0
2005-04-06,ABC Evening News,ABC,9.333333333333334,28.166666666666668,9.333333333333334,9.940828402366863,0.0,0.0,17.0
2005-04-06,CBS Evening News,CBS,8.5,28.333333333333332,8.5,9.0,0.0,0.0,17.0
2005-04-07,ABC Evening News,ABC,7.333333333333333,28.16666666666667,7.333333333333333,7.8106508875739635,0.0,0.0,18.0
2005-04-07,CBS Evening News,CBS,8.333333333333332,28.333333333333336,8.333333333333332,8.823529411764705,0.0,0.0,15.0
2005-04-08,ABC Evening News,ABC,11.166666666666668,28.333333333333336,11.166666666666668,11.823529411764707,0.0,0.0,14.0
2005-04-08,CBS Evening News,CBS,12.666666666666666,28.166666666666668,12.666666666666666,13.49112426035503,0.0,0.0,16.0
2005-04-09,ABC Evening News,ABC,5.666666666666666,27.833333333333332,5.666666666666666,6.107784431137723,1.0,0.5,19.0
2005-04-10,ABC Evening News,ABC,5.0,26.0,5.0,5.769230769230769,1.0,2.3333333333333335,17.0
2005-04-11,ABC Evening News,ABC,6.0,25.0,6.0,7.2,1.0,3.6666666666666665,17.0
2005-04-11,CBS Evening News,CBS,4.0,28.0,4.0,4.285714285714286,1.0,0.5,19.0
2005-04-12,ABC Evening News,ABC,4.5,28.666666666666668,4.5,4.709302325581395,0.0,0.0,18.0
2005-04-12,CBS Evening News,CBS,4.666666666666667,28.333333333333336,4.666666666666667,4.941176470588235,0.0,0.0,17.0
